dog_ID,dog_name,survey_ID,survey_token,date_of_birth,test_date,test_time,sex,stranger_name,object_combination,trial_number,condition_id,owner_presence,stranger_presence,owner_chair,stranger_chair,head_centre-snout,ear-ear,ear-head_centre
18,Bambi2,19,18,27.3.2012.,10.9.2020.,18,F,Ana,16-12-7-15,2,pp,p,p,window,door,11,10,6
18,Bambi2,19,18,27.3.2012.,10.9.2020.,18,F,Ana,10-8-14-2,3,pa,p,a,window,door,11,10,6
18,Bambi2,19,18,27.3.2012.,10.9.2020.,18,F,Ana,13-4-1-11,4,aa,a,a,window,door,11,10,6
19,Moon,20,19,1.1.2013.,10.9.2020.,18,F,Ana,15-6-5-10,1,aa,a,a,door,window,14,9,9
19,Moon,20,19,1.1.2013.,10.9.2020.,18,F,Ana,3-9-13-4,2,pp,p,p,door,window,14,9,9
19,Moon,20,19,1.1.2013.,10.9.2020.,18,F,Ana,14-12-8-11,3,ap,a,p,door,window,14,9,9
19,Moon,20,19,1.1.2013.,10.9.2020.,18,F,Ana,2-7-1-16,4,pa,p,a,door,window,14,9,9
20,Gandalf,21,20,14.7.2019.,9.9.2020.,12,M,Lejla,6-16-7-1,1,aa,a,a,window,door,17,8.5,7
20,Gandalf,21,20,14.7.2019.,9.9.2020.,12,M,Lejla,10-9-14-3,2,pp,p,p,window,door,17,8.5,7
20,Gandalf,21,20,14.7.2019.,9.9.2020.,12,M,Lejla,12-15-11-8,3,pa,p,a,window,door,17,8.5,7
20,Gandalf,21,20,14.7.2019.,9.9.2020.,12,M,Lejla,4-13-2-5,4,ap,a,p,window,door,17,8.5,7
21,Lenny4,22,21,15.7.2014.,9.9.2020.,12,M,Lejla,11-2-9-12,1,aa,a,a,window,door,16.5,11,8.5
21,Lenny4,22,21,15.7.2014.,9.9.2020.,12,M,Lejla,14-6-4-16,2,ap,a,p,window,door,16.5,11,8.5
21,Lenny4,22,21,15.7.2014.,9.9.2020.,12,M,Lejla,13-8-10-3,3,pp,p,p,window,door,16.5,11,8.5
21,Lenny4,22,21,15.7.2014.,9.9.2020.,12,M,Lejla,7-15-5-1,4,pa,p,a,window,door,16.5,11,8.5
22,Ultimo,23,22,29.10.2009.,9.9.2020.,12,M,Lejla,1-4-8-14,1,aa,a,a,window,door,17,13,9
22,Ultimo,23,22,29.10.2009.,9.9.2020.,12,M,Lejla,16-5-3-10,2,ap,a,p,window,door,17,13,9
22,Ultimo,23,22,29.10.2009.,9.9.2020.,12,M,Lejla,15-12-9-2,3,pa,p,a,window,door,17,13,9
22,Ultimo,23,22,29.10.2009.,9.9.2020.,12,M,Lejla,6-13-11-7,4,pp,p,p,window,door,17,13,9
23,Basil,24,23,1.10.2005.,16.9.2020.,12:30,M,Nora,8-13-2-4,1,aa,a,a,door,window,17,10,8
23,Basil,24,23,1.10.2005.,16.9.2020.,12:30,M,Nora,14-16-12-10,2,pa,p,a,door,window,17,10,8
23,Basil,24,23,1.10.2005.,16.9.2020.,12:30,M,Nora,5-6-9-7,3,pp,p,p,door,window,17,10,8
23,Basil,24,23,1.10.2005.,16.9.2020.,12:30,M,Nora,3-11-15-1,4,ap,a,p,door,window,17,10,8
24,Leon3,25,24,10.10.2008.,9.9.2020.,12,M,Lejla,8-13-5-2,1,aa,a,a,window,door,18,14,10
