"","subject","condition","dog_ID","caregiver","door_left","door_right","objects","stranger","trial"
"109","leon3","bp",24,0.448785638859557,0,0,0,0,118.493375
"110","leon3","np",24,0,0.510921501599855,0.0300341296819129,0,0.0518771330861965,122.2054167
"111","leon3","op",24,0.899895360753681,0,0,0.00313916986309424,0,119.5777917
"112","leon3","sp",24,0,0.482650936743298,0.0312283136624019,0,0.278625954148939,120.2034167
"113","luna26","bp",13,0.0513176144256443,0.0395284327277617,0.0239251040187784,0.0634535367548535,0.246185852955645,120.2860214
"114","luna26","np",13,0.0619806094062665,0.76558171737615,0,0,0.0280470914099022,120.4530213
"115","luna26","op",13,0.0702422145280493,0.251557093394602,0.0719723183330145,0.0678200691977794,0.10034602074606,120.5367293
"116","luna26","sp",13,0.0755370755398448,0.0266805266832959,0.0467775467775468,0.0121275121302814,0.523562023564793,120.37025
"117","mailo","bp",7,0.811594203079606,0,0,0,0.0427881297525366,120.8697295
"118","mailo","np",7,0.0891123439635189,0.82697642163431,0,0,0,120.2860214
"119","mailo","op",7,0.556396148656404,0.107290233867176,0.149243466318892,0.0196011004180417,0,121.2878333
"120","mailo","sp",7,0.0957300275578303,0.750344352688214,0.0678374655671606,0,0,121.1200215
"121","mira","bp",33,0.465924895671087,0.0399860917931034,0.0643254520113678,0,0.207927677314134,119.9524865
"122","mira","np",33,0.184941013161387,0.764399722440912,0,0,0,120.2027294
"123","mira","op",33,0.214933705575877,0.275994417357356,0.10607117935251,0,0.0282623866052248,119.5358977
"124","mira","sp",33,0.0610394140097885,0.642134635320087,0.0359260551039554,0,0.00976630624022812,119.577151
"125","moon","bp",19,0.155447605783405,0.124913254649608,0.0124913254649608,0.111034004144077,0.133587786228043,120.2034167
"126","moon","np",19,0,0,0.0315096952823383,0.00484764542805204,0.44113573396934,120.4530213
"127","moon","op",19,0.326856349658154,0.00693962526108461,0.175572519063013,0.0888272033036146,0.151283830628418,120.2034167
"128","moon","sp",19,0,0.0384351407078673,0,0,0,121.5380833
"129","ookami","bp",14,0.7367716010063,0,0.00904219692137526,0.0525787006142093,0.0267916945845291,124.5410833
"130","ookami","np",14,0,0.915916955281115,0,0.00761245674516572,0,120.5367293
"131","ookami","op",14,0.112033194950226,0,0,0,0,120.6200212
"132","ookami","sp",14,0.0051939058124486,0.817174515031541,0.0024238227157968,0.0415512465244947,0.0498614958310541,120.4533129
"133","timo2","bp",6,0.230874316965978,0.0584016393442959,0.0160519125693687,0.183060109303131,0.0409836065611358,122.1210215
"134","timo2","np",6,0,0.448958333333333,0.284374999975025,0,0.0527777777722278,120.12
"135","timo2","op",6,0.124741557608413,0,0,0,0,121.0375833
"136","timo2","sp",6,0.00103591160249582,0.476174033308176,0.388121547096031,0,0.0207182320499164,120.7873333
"137","ultimo","bp",22,0.785938044081531,0,0,0.0501218238904352,0,119.8273996
"138","ultimo","np",22,0.0377358490489995,0,0,0.0480274442352084,0,121.5797917
"139","ultimo","op",22,0.485051002576541,0,0,0,0,118.5766075
"140","ultimo","sp",22,0,0,0,0.0198191933348792,0.0121696801148368,119.9520216
"141","yuki5","bp",39,0.226330338516679,0.0304077401408798,0,0.106772633004377,0.154803040761643,120.7039167
"142","yuki5","np",39,0.0457380457463534,0.63548163542902,0.223146223115762,0,0,120.37025
"143","yuki5","op",39,0.211114994794923,0.138063614182704,0.233484795627612,0.0192240475418812,0.064662705362813,119.3265696
"144","yuki5","sp",39,0.0590877678118996,0.0984796130143094,0.475466482455622,0.0103662750545739,0.0673807878505878,120.7037292
"145","zuri","bp",5,0.539301309879402,0.00810979413296255,0.0789145352169048,0.057392389248658,0.050842170910496,133.7162488
"146","zuri","np",5,0.020069204155981,0.371626297707035,0.556747405000742,0,0,120.5366048
"147","zuri","op",5,0.0874827109322213,0.0366528354052586,0.122406639004149,0,0,120.6205
"148","zuri","sp",5,0.0214681440411477,0.0588642659144556,0.762811634110263,0,0,120.4536667
